date,symbol,open,close,low,high,volume
1/4/2010,GOOG,312.3049484,312.2053084,310.9550008,313.5801581,3927000
1/5/2010,GOOG,312.4195115,310.8304586,309.6100281,312.7482782,6031900
1/6/2010,GOOG,311.7619786,302.9948126,302.0483696,311.7619786,7987100
1/7/2010,GOOG,303.562685,295.9412421,295.2189509,303.8615747,12876600
1/8/2010,GOOG,294.895159,299.8864699,293.4555506,300.4991723,9483900
1/11/2010,GOOG,301.1019261,299.433161,295.9113656,301.1019261,14479800
1/12/2010,GOOG,297.7096168,294.1380165,292.9026325,297.963676,9742900
1/13/2010,GOOG,287.1691022,292.4493236,285.8789386,293.091933,13041800
1/14/2010,GOOG,290.8602703,293.8241734,290.3173314,295.9910469,8511900
1/15/2010,GOOG,295.562671,288.9175486,287.9412286,295.6722598,10909600
1/19/2010,GOOG,289.515328,292.7133316,287.0694926,294.1081091,8665700
1/20/2010,GOOG,291.8964051,289.121803,286.5713532,291.8964051,6525700
1/21/2010,GOOG,290.6311441,290.4019871,285.0570377,292.3148322,12662600
1/22/2010,GOOG,281.1964965,273.9785277,266.4317922,284.2351065,13651700
1/25/2010,GOOG,272.2749113,268.9922216,266.7555846,273.9137694,8872800
1/26/2010,GOOG,267.9809895,270.1976982,267.1441347,273.7743037,8743600
1/27/2010,GOOG,269.6248519,270.0383046,266.6559749,272.8029277,7958400
1/28/2010,GOOG,271.2288283,266.1478565,264.3097487,272.4791353,6482300
1/29/2010,GOOG,268.240023,263.9809825,261.8240572,269.4853557,8311900
2/1/2010,GOOG,266.3023061,265.5152258,264.1603038,266.9050294,4518400
2/2/2010,GOOG,266.4816274,264.5687828,262.8203359,266.4816274,8223000
2/3/2010,GOOG,263.3483517,269.4006697,263.1291743,270.0383046,6020500
2/4/2010,GOOG,267.4978036,262.4068831,261.799155,267.9959429,6780600
2/5/2010,GOOG,263.2138608,264.6534688,260.254963,265.7543315,6335600
2/8/2010,GOOG,265.2562226,265.7394085,264.7730063,269.9884694,5408700
2/9/2010,GOOG,268.7630646,267.2188726,266.5364066,269.7543689,5660200
2/10/2010,GOOG,266.0382673,266.2275682,262.860192,267.8913285,5369000
2/11/2010,GOOG,265.6646706,267.1989443,263.761805,269.2363017,4838000
2/12/2010,GOOG,265.4903236,265.565061,264.2599439,267.5725414,4576400
2/16/2010,GOOG,267.4330453,269.6397749,266.1528612,271.0495064,7336100
2/17/2010,GOOG,269.9884694,268.1005573,267.8016676,270.6858584,4074500
2/18/2010,GOOG,267.7668167,270.5961975,267.0694277,271.4878618,4691200
2/19/2010,GOOG,269.2562295,269.3707926,268.8427768,270.9997016,5125300
2/22/2010,GOOG,272.6534828,270.3869991,269.490361,272.7282202,4305100
2/23/2010,GOOG,270.4866088,266.5364066,265.1516082,270.8004519,5766600
2/24/2010,GOOG,265.9934373,264.7431298,264.2649187,268.2151204,4670500
2/25/2010,GOOG,262.5762557,262.2325361,259.0295272,263.2586913,6643100
2/26/2010,GOOG,262.7257006,262.4168622,260.7630511,264.8826259,4113800
3/1/2010,GOOG,263.6123602,265.3508578,262.8850941,265.6497475,4492500
3/2/2010,GOOG,266.740661,269.5202375,266.5065301,271.8116537,8746200
3/3/2010,GOOG,270.1678217,271.642281,268.6186244,273.0370586,6201800
3/4/2010,GOOG,272.2300808,276.2599952,272.080636,277.0271169,6391300
3/5/2010,GOOG,279.6273715,281.052026,278.9050803,282.7755702,7853700
3/8/2010,GOOG,281.3359622,280.1902691,279.4579988,281.5352119,4790600
3/9/2010,GOOG,278.8801781,279.0495204,277.2114131,281.2761783,6376900
3/10/2010,GOOG,280.8278742,287.1491739,280.0557782,288.1703548,11352100
3/11/2010,GOOG,286.0582908,289.4854206,286.0283834,292.0109682,8498200
3/12/2010,GOOG,292.9723652,288.6884224,288.4991215,293.0420978,5527400
3/15/2010,GOOG,282.2824361,280.5389636,276.9623586,283.6622602,9342600
3/16/2010,GOOG,279.8664772,281.545191,279.3334561,283.1491669,6888600
3/17/2010,GOOG,283.0894139,281.7245124,281.0719543,284.658508,6668000
3/18/2010,GOOG,281.3060852,282.14294,280.4293749,283.1591465,3567600
3/19/2010,GOOG,278.9548851,278.9548851,277.5999632,282.939969,9624200
3/22/2010,GOOG,277.0171378,277.7095519,276.105576,282.3670918,8039600
3/23/2010,GOOG,277.4804257,273.475414,269.9884694,278.113056,11043800
3/24/2010,GOOG,271.7369163,277.6248658,268.8427768,278.8801781,13179500
3/25/2010,GOOG,278.4667249,280.3895187,278.2874035,284.9324956,7891200
3/26/2010,GOOG,281.5800424,280.2948835,278.9648642,282.636105,5412500
3/29/2010,GOOG,280.4493027,280.1753156,279.2388208,281.3060852,6232200
3/30/2010,GOOG,280.3646166,282.2973592,279.0943812,282.7556424,3970500
3/31/2010,GOOG,281.4704531,282.5016136,280.354637,283.8066998,6084200
4/1/2010,GOOG,284.6087032,283.3384679,281.719538,285.6547867,4221100
4/5/2010,GOOG,284.3845514,284.4393306,283.4380775,286.3671292,3817200
4/6/2010,GOOG,283.6672346,283.0495578,281.6448006,284.379577,4135600
4/7/2010,GOOG,282.5912745,280.7182855,279.8814307,283.3135657,5181200
4/8/2010,GOOG,280.6086967,282.6859093,278.9797873,283.8615099,3909500
4/9/2010,GOOG,282.6859093,282.0532791,280.9474116,283.3235144,4128600
4/12/2010,GOOG,282.6161767,285.2961435,282.0532791,285.9287738,4722400
4/13/2010,GOOG,285.1965035,292.2899301,284.4991145,293.3409875,7853900
